STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-07,,38346,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-08,,37624,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-09,,33794,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-10,,37853,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-11,,34652,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-12,,42333,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-01,,10476,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-02,,9845,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-03,,9965,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-04,,9184,,,,,
